"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_SEGREGATION",0.26579739217653,0.85382528660809,0.354905631291867,1.1285750719101,1059,35,"LCMT1;USP44;INCENP;ZNF207;ANAPC15;PLK1;HASPIN;CHFR"
"GOBP_NEGATIVE_REGULATION_OF_CILIUM_ASSEMBLY",0.501151012891344,0.931769812174272,0.371941469077864,0.966516102348792,2176,15,"MAP4;EVI5L;ODF2L;MAK;TRIM32"
"GOBP_NEGATIVE_REGULATION_OF_COAGULATION",0.0845965770171149,0.688419970943624,-0.43044797710698,-1.34355337268885,518,44,"THBD;F11;PLAT;FGA;VTN;PROCR;SERPINE2;PF4;USF1;TMX1;HRG;APOE;PLAUR;APOH"
"GOBP_NEGATIVE_REGULATION_OF_COLD_INDUCED_THERMOGENESIS",0.522692761936899,0.937720371997582,-0.331633858774411,-0.956931357892219,3097,30,"FLCN;TLR4;CIDEA;LAMA4;BMAL1;ALDH1A1;ID1;IL15;ARRDC3;TLE3;PLCL2"
"GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION",0.276317581370012,0.858398760812593,-0.27475851542943,-1.08489502145277,2028,215,"SELENOS;PRKCA;HLA-DRB1;SLC11A1;CUL3;TLR4;IL10;NDRG2;APPL2;CIDEA;IDO1;MACIR;ANGPT1;CSK;ERRFI1;BPI;ITCH;HFE;HOMER2;CD200;RNF125;BCL3;MUL1;LTF;ARG2;TWIST1;TRIM27;ILRUN;GHSR;ARRB1;STAT3;ARG1;RPS6KA4;PTPN22;VSIR;KLHL22;LILRB1;PTPRS;EZR;MC1R;NMB;IFNG;C1QBP;TGFB1;NMI;BTN2A2;IL20RB;ABCD1;HMOX1;IGF1;IFNB1;RNF128;BTK;XCL1;APOD;LRRC32;TBX21;CD200R1;ASB1"
"GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE",0.0485420240137221,0.601156201415893,-0.54409926285411,-1.48574770158489,282,23,"IL10;ANGPT1;HFE;TWIST1;ARG1;LILRB1;TGFB1;IFNB1;XCL1;TBX21;BST2"
"GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE",0.839185750636132,0.976420295253223,-0.264136266062759,-0.747917437491737,4946,27,"PRKCA;APPL2;MACIR;STAT3;ABCD1;HMOX1;APOD"
"GOBP_NEGATIVE_REGULATION_OF_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY",0.272594515657959,0.858398760812593,-0.36017222613533,-1.12923408272235,1679,45,"CSNK1A1;MARCHF5;TRIM65;IFI16;FBXL2;ITCH;RNF125;TKFC;PTPN22;GRAMD4;PTPRS;ABHD17A;C1QBP;TRIM31"
"GOBP_NEGATIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION",0.955071580871154,0.989584088429197,-0.202517623469467,-0.716287965279115,6270,93,"RBM14;CTNNA2;SSH3;LMOD1;HDGFL3;MID1;F11R;CAV3;GAS2L1;DLC1;CORO1B;DIAPH3;STMN1;MKKS;MDM1;TMEFF2;ASB2;CLASP2;SSH2;RHPN2;NPM1"
"GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE",0.246168714621013,0.838926560165498,-0.282700160737085,-1.10089865580124,1782,191,"KLRC1;DDX39A;ISL1;SELENOS;TAFA3;HLA-DRB1;TRIM65;IFI16;IL10;MICB;MACIR;HLA-A;YES1;CEP63;ITCH;CD200;VPS35;MUL1;ARG2;ILRUN;GHSR;STAT3;ARG1;FGL2;LILRB1;SERPINB9;SLC39A8;CYP19A1;SLAMF8;IL10RA;C1QBP;TGFB1;IL2;PLK2;OTULIN;RNF26;NT5E;MVK;NMI;IL20RB;FAM3A;IGF1;METTL3;SFN;APOE;SAA1;GPER1"
"GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS",0.213149522799576,0.798777243950802,-0.494466349042302,-1.22590045463262,1205,15,"MICB;ITCH;MUL1;ILRUN;FGL2;C1QBP;RNF26"
"GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH",0.419417475728155,0.917060181075803,0.273281202132411,1.00793048342111,1511,70,"ADRB3;RGS4;VGLL4;RNF6;PPARA;GSK3A;ADRB2;CDKN1A;CDK5;KCNK2;MT3;PAK1;BCL11A;CDKN1B"
"GOBP_NEGATIVE_REGULATION_OF_DNA_BINDING",0.849215640365254,0.979126451879035,0.266681604694995,0.725235038613552,3626,18,"JUN;TFAP4;CPNE1;SUMO1;LEF1"
"GOBP_NEGATIVE_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY",0.561702127659575,0.949497563437271,0.271901515767738,0.942221822395201,2111,51,"COMMD7;PIAS2;ARRB2;NUPR1;TRIM21;AIM2"
"GOBP_NEGATIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS",0.800575263662512,0.964587939687997,0.267396619374275,0.774617621436343,3339,23,"ACD;CDKN1A;KCNK2;HNRNPU;HNRNPC;PINX1"
"GOBP_NEGATIVE_REGULATION_OF_DNA_METABOLIC_PROCESS",0.360356210655612,0.905373481325934,-0.305666179492681,-1.05917651159558,2346,81,"WAPL;TIMELESS;ANKRD1;NMNAT1;XRCC5;DNAJC2;NIBAN2;TIPIN;GDF2;TWIST1;RECQL5;XRCC1;ERCC6;H1-1;C1QBP;LIG3"
"GOBP_NEGATIVE_REGULATION_OF_DNA_RECOMBINATION",0.900990099009901,0.983974747456623,-0.248769208472242,-0.697674214013878,5277,26,"RECQL5;H1-1;C1QBP;H1-8;MAGEF1;MSH2;CSNK2A1;RMI2;NDFIP1"
"GOBP_NEGATIVE_REGULATION_OF_DNA_REPAIR",0.915332197614992,0.983974747456623,-0.240543310814184,-0.670353082766333,5372,25,"TWIST1;RECQL5;ERCC6;C1QBP;MRE11;MAGEF1;CSNK2A1;RMI2;NUDT16L1;TERF2;FANCB;OGG1"
"GOBP_NEGATIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION",0.718473708701722,0.961201445688497,0.305231779306466,0.818084829391793,3087,17,"NELFE;RNF8;SIRT6;HNRNPU;NELFA"
"GOBP_NEGATIVE_REGULATION_OF_ENDOCYTOSIS",0.0780962398106758,0.671304641214039,0.393013058943029,1.33736292421929,296,47,"NR1H3;UBQLN2;LGALS3;APOC2;EPHA3;ANXA2;ATG5;SNX3;SNX33;CNN2;STX1B;CD300LF;UNC119;DLG4;SDCBP;ARF6"
"GOBP_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",0.595737185132993,0.953415675227591,-0.361436916628929,-0.908047008045815,3381,16,"CREB3L1;SELENOS;HYOU1;MAGEA3;TMBIM6"
"GOBP_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE",0.706721915285451,0.961201445688497,0.31523800120607,0.819168147594028,3069,15,"XBP1;WFS1;DDRGK1;NCK2;CREBRF"
"GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS",0.283781469429697,0.862472519728543,-0.411831029651853,-1.13374494643657,1656,24,"FGA;IL10;NFE2L2;ANGPT1"
"GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION",0.672172172172172,0.961201445688497,0.273699514108998,0.877421965788317,2685,36,"MEOX2;JUP;TNF;PPARG"
"GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION",0.493348852677087,0.930139740210832,-0.328112571439258,-0.978353846691399,2966,35,"CCL2;CAV2;ATP5F1A;GDF2;STAT1;PRL;APOE;SULF1;APOH;ALOX5;CXCR3;TNMD;KRIT1;CAV1;ENG"
"GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_APOPTOTIC_PROCESS",0.571294778740342,0.949497563437271,0.338571357800933,0.920737716532912,2439,18,"NUPR1;WFS1;PPARA;MDK;BCL2;CDKN1B"
"GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION",0.218405215646941,0.804811415287186,0.368779192708934,1.17269202637183,870,35,"MSX2;KRAS;HES1;CTNNB1;HOXA7;TP63"
"GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION",0.444444444444444,0.917855657304672,-0.284690242367628,-1.00632696351198,2927,92,"ISL1;FLCN;MAGED1;VDR;CDC73;CCL2;CAV2;WDR77;ATP5F1A;GDF2;STAT1;PRL;PTCH1;PEX2;PAX6;TGFB1;SOX9;SFN;APOE;MED1;SULF1;STK4;SERPINF1;APOH"
"GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION",0.641472392638037,0.961201445688497,0.287503440408356,0.884547760371637,2613,30,"NKX2-1;GSK3B;VASN;IL17RD;FOXA1;GATA3;SPRY1;NOG;SPSB3;DACT3;OVOL2;MAD2L2;ADIPOR1;TGFB2;FUZ;KAT8"
"GOBP_NEGATIVE_REGULATION_OF_ERBB_SIGNALING_PATHWAY",0.250484027105518,0.842250913504245,0.390794455452284,1.15319673405904,1034,25,"DUSP3;GPRC5A;TSG101;SH3GL2;VPS25;SNX5;NPPA"
"GOBP_NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE",0.70760327921556,0.961201445688497,-0.26693692031578,-0.860472946546669,4401,53,"FLCN;TLR4;NDRG2;CSK;ERRFI1;DUSP26;C3orf33;EZR;DUSP4;LIF;BTN2A2;TBC1D10C;IGF1;SIRT3;GPER1"
"GOBP_NEGATIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION",0.688563750373246,0.961201445688497,0.230564350651382,0.903788384250595,2305,100,"GNAI1;NR1H3;SNX12;PIM3;PKIG;DMTN;PARK7;FKBP1B;SNX3;NPFF;HDAC3;SIRT6;CDK5;IL1B;UFM1;RAB23"
"GOBP_NEGATIVE_REGULATION_OF_EXOCYTOSIS",0.660939012584705,0.961201445688497,0.295750692937743,0.872731760732843,2730,25,"GNAI2;SNCA;SPI1;CDK5"
