"logFC","logCPM","F","PValue","FDR","Species"
0.252590322483609,2.22601617416862,6.98417070324657,0.0100724593469176,0.669431144287444,"Rhinovirus B, Rhinovirus B17 (Strain), Rhinovirus B91 (Strain)"
0.04782647176962,7.09050843021801,6.76378429335473,0.0112707470210951,0.671947373358565,"Bunyamwera orthobunyavirus, Batai orthobunyavirus"
0.262606095036956,2.55463497648997,6.89724935213934,0.010528252634095,0.671947373358565,"Enterovirus A, Enterovirus C, unclassified Enterovirus, Coxsackievirus A16 (Strain), Coxsackievirus A7 (Strain)"
-0.212397616568788,4.16626984119496,6.74038140270475,0.0114065140539263,0.671947373358565,"Enterovirus A, unclassified Enterovirus, Coxsackievirus A8 (Strain)"
0.264935843348879,2.05102180123394,6.81782600863848,0.0109636824510582,0.671947373358565,"Rhinovirus A, unclassified Enterovirus, Rhinovirus C, Rhinovirus A16 (Strain), Rhinovirus A15 (Strain), Rhinovirus A38 (Strain), Rhinovirus A59 (Strain), Rhinovirus A76 (Strain), Rhinovirus A82 (Strain), Rhinovirus A11 (Strain), Rhinovirus A64 (Strain), Rhinovirus A19 (Strain), Rhinovirus A22 (Strain), Rhinovirus A32 (Strain), Rhinovirus A33 (Strain), Rhinovirus A40 (Strain), Rhinovirus A43 (Strain), Rhinovirus A54 (Strain), Rhinovirus A56 (Strain), Rhinovirus A60 (Strain), Rhinovirus A66 (Strain), Rhinovirus A81 (Strain), Rhinovirus A85 (Strain), Rhinovirus A90 (Strain), Rhinovirus A9 (Strain), Rhinovirus A_AEP69150.1 (Strain)"
0.387107909115377,1.07514418742237,7.5180063746992,0.0110458449212306,0.671947373358565,"Rhinovirus B, Rhinovirus B6 (Strain), Rhinovirus B37 (Strain)"
-0.063223747842898,9.37477379800056,6.52145476146555,0.0127630698551904,0.694218548325443,"Human coronavirus OC43"
0.332494746981526,1.33850854416707,7.41648146854069,0.0120970328499606,0.694218548325443,"La Crosse orthobunyavirus, Tahyna orthobunyavirus"
-0.550146833073661,2.26544058850073,6.54080542336799,0.0126365962902423,0.694218548325443,"Rhinovirus A, Rhinovirus A33 (Strain)"
-0.541908511510798,2.47232423231797,6.50737971004244,0.0128558990430638,0.694218548325443,"Rhinovirus C, unclassified Rhinovirus, Rhinovirus C15 (Strain)"
